date,open,high,low,close
4/1/2022,107.53,110.006,70.508,72.296
4/4/2022,90.57,118.406,-10.254,103.614
4/5/2022,105.862,109.628,64.8,74.316
4/6/2022,70.492,79.116,60.588,66.856
4/7/2022,72.034,93.374,65.16,89.28
4/8/2022,87.212,94.316,72.978,90.254
4/11/2022,78.76,94.53,74.316,83.928
4/12/2022,89.33,93.642,75.75,84.882
4/13/2022,74.624,88.636,66.978,85.52
4/18/2022,80.758,93.04,75.34,86.48
4/19/2022,78.848,142.948,76.28,119.8
4/20/2022,100.154,109.584,87.33,92.558
4/21/2022,101.006,105.73,66.61,84.2
4/22/2022,81.968,86.156,52.35,70.88
4/25/2022,73.164,88.62,62.69,85.516
4/26/2022,88.392,88.392,71.878,78.28
4/27/2022,68.48,83.158,66.014,81.832
